LOG_TIMESTAMP,XTIM.SX.WE-CT:Acquisition:acqC,SPS.T2:INTENSITY,UTC_DATE,CEST_DATE
1728671594.1899998,4455,3138142400000.0,2024-10-11 18:33:14.189999819+00:00,2024-10-11 20:33:14.189999819+02:00
1728671608.59,4455,3093477000000.0,2024-10-11 18:33:28.589999914+00:00,2024-10-11 20:33:28.589999914+02:00
1728671622.99,4455,3077974000000.0,2024-10-11 18:33:42.990000010+00:00,2024-10-11 20:33:42.990000010+02:00
1728671637.3899999,4455,3030794600000.0,2024-10-11 18:33:57.389999866+00:00,2024-10-11 20:33:57.389999866+02:00
1728671651.79,4455,3097331800000.0,2024-10-11 18:34:11.789999962+00:00,2024-10-11 20:34:11.789999962+02:00
1728671666.1899998,4455,3112751000000.0,2024-10-11 18:34:26.189999819+00:00,2024-10-11 20:34:26.189999819+02:00
1728671680.59,4455,3101689400000.0,2024-10-11 18:34:40.589999914+00:00,2024-10-11 20:34:40.589999914+02:00
1728671694.99,4455,3130851800000.0,2024-10-11 18:34:54.990000010+00:00,2024-10-11 20:34:54.990000010+02:00
1728671709.3899999,4455,3144427400000.0,2024-10-11 18:35:09.389999866+00:00,2024-10-11 20:35:09.389999866+02:00
1728671723.79,4455,3109734200000.0,2024-10-11 18:35:23.789999962+00:00,2024-10-11 20:35:23.789999962+02:00
1728671738.1899998,4455,3118700800000.0,2024-10-11 18:35:38.189999819+00:00,2024-10-11 20:35:38.189999819+02:00
1728671752.59,4455,3145097800000.0,2024-10-11 18:35:52.589999914+00:00,2024-10-11 20:35:52.589999914+02:00
1728671766.99,4455,3130349000000.0,2024-10-11 18:36:06.990000010+00:00,2024-10-11 20:36:06.990000010+02:00
1728671781.3899999,4455,3129092000000.0,2024-10-11 18:36:21.389999866+00:00,2024-10-11 20:36:21.389999866+02:00
1728671795.79,4455,3144092200000.0,2024-10-11 18:36:35.789999962+00:00,2024-10-11 20:36:35.789999962+02:00
1728671810.1899998,4455,3122136600000.0,2024-10-11 18:36:50.189999819+00:00,2024-10-11 20:36:50.189999819+02:00
1728671824.59,4455,3095991000000.0,2024-10-11 18:37:04.589999914+00:00,2024-10-11 20:37:04.589999914+02:00
1728671838.99,4455,3119455000000.0,2024-10-11 18:37:18.990000010+00:00,2024-10-11 20:37:18.990000010+02:00
1728671853.3899999,4455,3065739200000.0,2024-10-11 18:37:33.389999866+00:00,2024-10-11 20:37:33.389999866+02:00
1728671867.79,4455,3137220600000.0,2024-10-11 18:37:47.789999962+00:00,2024-10-11 20:37:47.789999962+02:00
1728671882.1899998,4455,3108980000000.0,2024-10-11 18:38:02.189999819+00:00,2024-10-11 20:38:02.189999819+02:00
