LOG_TIMESTAMP,SPS.T2:INTENSITY,XTIM.SX.WE-CT:Acquisition:acqC,UTC_DATE,CEST_DATE
1729878184.59,3315211800000.0,4455,2024-10-25 17:43:04.589999914+00:00,2024-10-25 19:43:04.589999914+02:00
1729878198.99,3297446200000.0,4455,2024-10-25 17:43:18.990000010+00:00,2024-10-25 19:43:18.990000010+02:00
1729878213.3899999,3345044600000.0,4455,2024-10-25 17:43:33.389999866+00:00,2024-10-25 19:43:33.389999866+02:00
1729878227.79,3363732000000.0,4455,2024-10-25 17:43:47.789999962+00:00,2024-10-25 19:43:47.789999962+02:00
1729878242.1899998,3334737200000.0,4455,2024-10-25 17:44:02.189999819+00:00,2024-10-25 19:44:02.189999819+02:00
1729878256.59,3289233800000.0,4455,2024-10-25 17:44:16.589999914+00:00,2024-10-25 19:44:16.589999914+02:00
1729878270.99,3364151000000.0,4455,2024-10-25 17:44:30.990000010+00:00,2024-10-25 19:44:30.990000010+02:00
1729878285.3899999,3312865400000.0,4455,2024-10-25 17:44:45.389999866+00:00,2024-10-25 19:44:45.389999866+02:00
1729878299.79,3365659400000.0,4455,2024-10-25 17:44:59.789999962+00:00,2024-10-25 19:44:59.789999962+02:00
1729878314.1899998,3289485200000.0,4455,2024-10-25 17:45:14.189999819+00:00,2024-10-25 19:45:14.189999819+02:00
1729878328.59,3343536200000.0,4455,2024-10-25 17:45:28.589999914+00:00,2024-10-25 19:45:28.589999914+02:00
1729878342.99,3322670000000.0,4455,2024-10-25 17:45:42.990000010+00:00,2024-10-25 19:45:42.990000010+02:00
1729878357.3899999,3341022200000.0,4455,2024-10-25 17:45:57.389999866+00:00,2024-10-25 19:45:57.389999866+02:00
1729878371.79,3344122800000.0,4455,2024-10-25 17:46:11.789999962+00:00,2024-10-25 19:46:11.789999962+02:00
1729878386.1899998,3305155800000.0,4455,2024-10-25 17:46:26.189999819+00:00,2024-10-25 19:46:26.189999819+02:00
1729878400.59,3318731400000.0,4455,2024-10-25 17:46:40.589999914+00:00,2024-10-25 19:46:40.589999914+02:00
1729878414.99,3308926800000.0,4455,2024-10-25 17:46:54.990000010+00:00,2024-10-25 19:46:54.990000010+02:00
1729878429.3899999,3352083800000.0,4455,2024-10-25 17:47:09.389999866+00:00,2024-10-25 19:47:09.389999866+02:00
1729878443.79,3304904400000.0,4455,2024-10-25 17:47:23.789999962+00:00,2024-10-25 19:47:23.789999962+02:00
1729878458.1899998,3308256400000.0,4455,2024-10-25 17:47:38.189999819+00:00,2024-10-25 19:47:38.189999819+02:00
1729878472.59,3337670200000.0,4455,2024-10-25 17:47:52.589999914+00:00,2024-10-25 19:47:52.589999914+02:00
1729878486.99,3332558400000.0,4455,2024-10-25 17:48:06.990000010+00:00,2024-10-25 19:48:06.990000010+02:00
1729878501.3899999,3315882200000.0,4455,2024-10-25 17:48:21.389999866+00:00,2024-10-25 19:48:21.389999866+02:00
1729878515.79,3321915800000.0,4455,2024-10-25 17:48:35.789999962+00:00,2024-10-25 19:48:35.789999962+02:00
1729878530.1899998,3319569400000.0,4455,2024-10-25 17:48:50.189999819+00:00,2024-10-25 19:48:50.189999819+02:00
1729878544.59,3327530400000.0,4455,2024-10-25 17:49:04.589999914+00:00,2024-10-25 19:49:04.589999914+02:00
1729878558.99,3342530600000.0,4455,2024-10-25 17:49:18.990000010+00:00,2024-10-25 19:49:18.990000010+02:00
1729878573.3899999,3324848800000.0,4455,2024-10-25 17:49:33.389999866+00:00,2024-10-25 19:49:33.389999866+02:00
1729878587.79,3356190000000.0,4455,2024-10-25 17:49:47.789999962+00:00,2024-10-25 19:49:47.789999962+02:00
1729878602.1899998,3319150400000.0,4455,2024-10-25 17:50:02.189999819+00:00,2024-10-25 19:50:02.189999819+02:00
1729878616.59,3300798200000.0,4455,2024-10-25 17:50:16.589999914+00:00,2024-10-25 19:50:16.589999914+02:00
1729878630.99,3327865600000.0,4455,2024-10-25 17:50:30.990000010+00:00,2024-10-25 19:50:30.990000010+02:00
1729878645.3899999,3325938200000.0,4455,2024-10-25 17:50:45.389999866+00:00,2024-10-25 19:50:45.389999866+02:00
1729878659.79,3319653200000.0,4455,2024-10-25 17:50:59.789999962+00:00,2024-10-25 19:50:59.789999962+02:00
1729878674.1899998,3367167800000.0,4455,2024-10-25 17:51:14.189999819+00:00,2024-10-25 19:51:14.189999819+02:00
1729878688.59,3322334800000.0,4455,2024-10-25 17:51:28.589999914+00:00,2024-10-25 19:51:28.589999914+02:00
1729878702.99,3323340400000.0,4455,2024-10-25 17:51:42.990000010+00:00,2024-10-25 19:51:42.990000010+02:00
1729878717.3899999,3332139400000.0,4455,2024-10-25 17:51:57.389999866+00:00,2024-10-25 19:51:57.389999866+02:00
1729878731.79,3329876800000.0,4455,2024-10-25 17:52:11.789999962+00:00,2024-10-25 19:52:11.789999962+02:00
1729878746.1899998,3344206600000.0,4455,2024-10-25 17:52:26.189999819+00:00,2024-10-25 19:52:26.189999819+02:00
1729878760.59,3322083400000.0,4455,2024-10-25 17:52:40.589999914+00:00,2024-10-25 19:52:40.589999914+02:00
1729878774.99,3332139400000.0,4455,2024-10-25 17:52:54.990000010+00:00,2024-10-25 19:52:54.990000010+02:00
1729878789.3899999,3338843400000.0,4455,2024-10-25 17:53:09.389999866+00:00,2024-10-25 19:53:09.389999866+02:00
1729878803.79,3328368400000.0,4455,2024-10-25 17:53:23.789999962+00:00,2024-10-25 19:53:23.789999962+02:00
1729878818.1899998,3350072600000.0,4455,2024-10-25 17:53:38.189999819+00:00,2024-10-25 19:53:38.189999819+02:00
1729878832.59,3306161400000.0,4455,2024-10-25 17:53:52.589999914+00:00,2024-10-25 19:53:52.589999914+02:00
1729878846.99,3354849200000.0,4455,2024-10-25 17:54:06.990000010+00:00,2024-10-25 19:54:06.990000010+02:00
1729878861.3899999,3334737200000.0,4455,2024-10-25 17:54:21.389999866+00:00,2024-10-25 19:54:21.389999866+02:00
1729878875.79,3359625800000.0,4455,2024-10-25 17:54:35.789999962+00:00,2024-10-25 19:54:35.789999962+02:00
1729878890.1899998,3375128800000.0,4455,2024-10-25 17:54:50.189999819+00:00,2024-10-25 19:54:50.189999819+02:00
1729878904.59,3366832600000.0,4455,2024-10-25 17:55:04.589999914+00:00,2024-10-25 19:55:04.589999914+02:00
1729878918.99,3323675600000.0,4455,2024-10-25 17:55:18.990000010+00:00,2024-10-25 19:55:18.990000010+02:00
1729878933.3899999,3338424400000.0,4455,2024-10-25 17:55:33.389999866+00:00,2024-10-25 19:55:33.389999866+02:00
1729878947.79,3308926800000.0,4455,2024-10-25 17:55:47.789999962+00:00,2024-10-25 19:55:47.789999962+02:00
1729878962.1899998,3371776800000.0,4455,2024-10-25 17:56:02.189999819+00:00,2024-10-25 19:56:02.189999819+02:00
1729878976.59,3367922000000.0,4455,2024-10-25 17:56:16.589999914+00:00,2024-10-25 19:56:16.589999914+02:00
1729878990.99,3352586600000.0,4455,2024-10-25 17:56:30.990000010+00:00,2024-10-25 19:56:30.990000010+02:00
1729879005.3899999,3365156600000.0,4455,2024-10-25 17:56:45.389999866+00:00,2024-10-25 19:56:45.389999866+02:00
1729879019.79,3376972400000.0,4455,2024-10-25 17:56:59.789999962+00:00,2024-10-25 19:56:59.789999962+02:00
1729879034.1899998,3341441200000.0,4455,2024-10-25 17:57:14.189999819+00:00,2024-10-25 19:57:14.189999819+02:00
1729879048.59,3330631000000.0,4455,2024-10-25 17:57:28.589999914+00:00,2024-10-25 19:57:28.589999914+02:00
1729879062.99,3396414000000.0,4455,2024-10-25 17:57:42.990000010+00:00,2024-10-25 19:57:42.990000010+02:00
1729879077.3899999,3370603600000.0,4455,2024-10-25 17:57:57.389999866+00:00,2024-10-25 19:57:57.389999866+02:00
1729879091.79,3365072800000.0,4455,2024-10-25 17:58:11.789999962+00:00,2024-10-25 19:58:11.789999962+02:00
1729879106.1899998,3357866000000.0,4455,2024-10-25 17:58:26.189999819+00:00,2024-10-25 19:58:26.189999819+02:00
1729879120.59,3355184400000.0,4455,2024-10-25 17:58:40.589999914+00:00,2024-10-25 19:58:40.589999914+02:00
1729879134.99,3332474600000.0,4455,2024-10-25 17:58:54.990000010+00:00,2024-10-25 19:58:54.990000010+02:00
1729879149.3899999,3362810200000.0,4455,2024-10-25 17:59:09.389999866+00:00,2024-10-25 19:59:09.389999866+02:00
1729879163.79,3367419200000.0,4455,2024-10-25 17:59:23.789999962+00:00,2024-10-25 19:59:23.789999962+02:00
1729879178.1899998,3338340600000.0,4455,2024-10-25 17:59:38.189999819+00:00,2024-10-25 19:59:38.189999819+02:00
1729879192.59,3373536600000.0,4455,2024-10-25 17:59:52.589999914+00:00,2024-10-25 19:59:52.589999914+02:00
1729879206.99,3347055800000.0,4455,2024-10-25 18:00:06.990000010+00:00,2024-10-25 20:00:06.990000010+02:00
1729879221.3899999,3356106200000.0,4455,2024-10-25 18:00:21.389999866+00:00,2024-10-25 20:00:21.389999866+02:00
1729879235.79,3333815400000.0,4455,2024-10-25 18:00:35.789999962+00:00,2024-10-25 20:00:35.789999962+02:00
1729879250.1899998,3363815800000.0,4455,2024-10-25 18:00:50.189999819+00:00,2024-10-25 20:00:50.189999819+02:00
1729879264.59,3351078200000.0,4455,2024-10-25 18:01:04.589999914+00:00,2024-10-25 20:01:04.589999914+02:00
1729879278.99,3325351600000.0,4455,2024-10-25 18:01:18.990000010+00:00,2024-10-25 20:01:18.990000010+02:00
1729879293.3899999,3352083800000.0,4455,2024-10-25 18:01:33.389999866+00:00,2024-10-25 20:01:33.389999866+02:00
1729879307.79,3349150800000.0,4455,2024-10-25 18:01:47.789999962+00:00,2024-10-25 20:01:47.789999962+02:00
1729879322.1899998,3342530600000.0,4455,2024-10-25 18:02:02.189999819+00:00,2024-10-25 20:02:02.189999819+02:00
1729879336.59,3335156200000.0,4455,2024-10-25 18:02:16.589999914+00:00,2024-10-25 20:02:16.589999914+02:00
1729879350.99,3340687000000.0,4455,2024-10-25 18:02:30.990000010+00:00,2024-10-25 20:02:30.990000010+02:00
1729879365.3899999,3355519600000.0,4455,2024-10-25 18:02:45.389999866+00:00,2024-10-25 20:02:45.389999866+02:00
1729879379.79,3382670800000.0,4455,2024-10-25 18:02:59.789999962+00:00,2024-10-25 20:02:59.789999962+02:00
1729879394.1899998,3359374400000.0,4455,2024-10-25 18:03:14.189999819+00:00,2024-10-25 20:03:14.189999819+02:00
1729879408.59,3358536400000.0,4455,2024-10-25 18:03:28.589999914+00:00,2024-10-25 20:03:28.589999914+02:00
1729879422.99,3370017000000.0,4455,2024-10-25 18:03:42.990000010+00:00,2024-10-25 20:03:42.990000010+02:00
1729879437.3899999,3372447200000.0,4455,2024-10-25 18:03:57.389999866+00:00,2024-10-25 20:03:57.389999866+02:00
1729879451.79,3367000200000.0,4455,2024-10-25 18:04:11.789999962+00:00,2024-10-25 20:04:11.789999962+02:00
1729879466.1899998,3369598000000.0,4455,2024-10-25 18:04:26.189999819+00:00,2024-10-25 20:04:26.189999819+02:00
1729879480.59,3358704000000.0,4455,2024-10-25 18:04:40.589999914+00:00,2024-10-25 20:04:40.589999914+02:00
1729879494.99,3310016200000.0,4455,2024-10-25 18:04:54.990000010+00:00,2024-10-25 20:04:54.990000010+02:00
1729879509.3899999,3370017000000.0,4455,2024-10-25 18:05:09.389999866+00:00,2024-10-25 20:05:09.389999866+02:00
1729879523.79,3366748800000.0,4455,2024-10-25 18:05:23.789999962+00:00,2024-10-25 20:05:23.789999962+02:00
1729879538.1899998,3342363000000.0,4455,2024-10-25 18:05:38.189999819+00:00,2024-10-25 20:05:38.189999819+02:00
1729879552.59,3367335400000.0,4455,2024-10-25 18:05:52.589999914+00:00,2024-10-25 20:05:52.589999914+02:00
1729879566.99,3292083000000.0,4455,2024-10-25 18:06:06.990000010+00:00,2024-10-25 20:06:06.990000010+02:00
1729879581.3899999,3233758200000.0,4455,2024-10-25 18:06:21.389999866+00:00,2024-10-25 20:06:21.389999866+02:00
1729879595.79,3185070400000.0,4455,2024-10-25 18:06:35.789999962+00:00,2024-10-25 20:06:35.789999962+02:00
1729879610.1899998,3224205000000.0,4455,2024-10-25 18:06:50.189999819+00:00,2024-10-25 20:06:50.189999819+02:00
1729879624.59,3145935800000.0,4455,2024-10-25 18:07:04.589999914+00:00,2024-10-25 20:07:04.589999914+02:00
1729879638.99,3159343800000.0,4455,2024-10-25 18:07:18.990000010+00:00,2024-10-25 20:07:18.990000010+02:00
1729879653.3899999,3180293800000.0,4455,2024-10-25 18:07:33.389999866+00:00,2024-10-25 20:07:33.389999866+02:00
1729879667.79,3159762800000.0,4455,2024-10-25 18:07:47.789999962+00:00,2024-10-25 20:07:47.789999962+02:00
1729879682.1899998,3137220600000.0,4455,2024-10-25 18:08:02.189999819+00:00,2024-10-25 20:08:02.189999819+02:00
1729879696.59,3140740200000.0,4455,2024-10-25 18:08:16.589999914+00:00,2024-10-25 20:08:16.589999914+02:00
1729879710.99,3129092000000.0,4455,2024-10-25 18:08:30.990000010+00:00,2024-10-25 20:08:30.990000010+02:00
1729879725.3899999,3151550400000.0,4455,2024-10-25 18:08:45.389999866+00:00,2024-10-25 20:08:45.389999866+02:00
1729879739.79,3145181600000.0,4455,2024-10-25 18:08:59.789999962+00:00,2024-10-25 20:08:59.789999962+02:00
1729879754.1899998,3138729000000.0,4455,2024-10-25 18:09:14.189999819+00:00,2024-10-25 20:09:14.189999819+02:00
1729879768.59,3114678400000.0,4455,2024-10-25 18:09:28.589999914+00:00,2024-10-25 20:09:28.589999914+02:00
1729879782.99,3109566600000.0,4455,2024-10-25 18:09:42.990000010+00:00,2024-10-25 20:09:42.990000010+02:00
1729879797.3899999,3131354600000.0,4455,2024-10-25 18:09:57.389999866+00:00,2024-10-25 20:09:57.389999866+02:00
1729879811.79,3184064800000.0,4455,2024-10-25 18:10:11.789999962+00:00,2024-10-25 20:10:11.789999962+02:00
1729879826.1899998,3209037200000.0,4455,2024-10-25 18:10:26.189999819+00:00,2024-10-25 20:10:26.189999819+02:00
1729879840.59,3162444400000.0,4455,2024-10-25 18:10:40.589999914+00:00,2024-10-25 20:10:40.589999914+02:00
1729879854.99,3173506000000.0,4455,2024-10-25 18:10:54.990000010+00:00,2024-10-25 20:10:54.990000010+02:00
1729879869.3899999,3202500800000.0,4455,2024-10-25 18:11:09.389999866+00:00,2024-10-25 20:11:09.389999866+02:00
1729879883.79,3173003200000.0,4455,2024-10-25 18:11:23.789999962+00:00,2024-10-25 20:11:23.789999962+02:00
1729879898.1899998,3162025400000.0,4455,2024-10-25 18:11:38.189999819+00:00,2024-10-25 20:11:38.189999819+02:00
1729879912.59,3202081800000.0,4455,2024-10-25 18:11:52.589999914+00:00,2024-10-25 20:11:52.589999914+02:00
1729879926.99,3179372000000.0,4455,2024-10-25 18:12:06.990000010+00:00,2024-10-25 20:12:06.990000010+02:00
1729879941.3899999,3210461800000.0,4455,2024-10-25 18:12:21.389999866+00:00,2024-10-25 20:12:21.389999866+02:00
1729879955.79,3158254400000.0,4455,2024-10-25 18:12:35.789999962+00:00,2024-10-25 20:12:35.789999962+02:00
1729879970.1899998,3208283000000.0,4455,2024-10-25 18:12:50.189999819+00:00,2024-10-25 20:12:50.189999819+02:00
1729879984.59,3162779600000.0,4455,2024-10-25 18:13:04.589999914+00:00,2024-10-25 20:13:04.589999914+02:00
1729879998.99,3200489600000.0,4455,2024-10-25 18:13:18.990000010+00:00,2024-10-25 20:13:18.990000010+02:00
1729880013.3899999,3197472800000.0,4455,2024-10-25 18:13:33.389999866+00:00,2024-10-25 20:13:33.389999866+02:00
1729880027.79,3177109400000.0,4455,2024-10-25 18:13:47.789999962+00:00,2024-10-25 20:13:47.789999962+02:00
1729880042.1899998,3181886000000.0,4455,2024-10-25 18:14:02.189999819+00:00,2024-10-25 20:14:02.189999819+02:00
1729880056.59,3183310600000.0,4455,2024-10-25 18:14:16.589999914+00:00,2024-10-25 20:14:16.589999914+02:00
1729880070.99,3187165400000.0,4455,2024-10-25 18:14:30.990000010+00:00,2024-10-25 20:14:30.990000010+02:00
1729880085.3899999,3171997600000.0,4455,2024-10-25 18:14:45.389999866+00:00,2024-10-25 20:14:45.389999866+02:00
1729880099.79,3185321800000.0,4455,2024-10-25 18:14:59.789999962+00:00,2024-10-25 20:14:59.789999962+02:00
1729880114.1899998,3200489600000.0,4455,2024-10-25 18:15:14.189999819+00:00,2024-10-25 20:15:14.189999819+02:00
1729880128.59,3177863600000.0,4455,2024-10-25 18:15:28.589999914+00:00,2024-10-25 20:15:28.589999914+02:00
1729880142.99,3221942400000.0,4455,2024-10-25 18:15:42.990000010+00:00,2024-10-25 20:15:42.990000010+02:00
1729880157.3899999,3181383200000.0,4455,2024-10-25 18:15:57.389999866+00:00,2024-10-25 20:15:57.389999866+02:00
1729880171.79,3197556600000.0,4455,2024-10-25 18:16:11.789999962+00:00,2024-10-25 20:16:11.789999962+02:00
1729880186.1899998,3208031600000.0,4455,2024-10-25 18:16:26.189999819+00:00,2024-10-25 20:16:26.189999819+02:00
1729880200.59,3214400400000.0,4455,2024-10-25 18:16:40.589999914+00:00,2024-10-25 20:16:40.589999914+02:00
1729880214.99,3182640200000.0,4455,2024-10-25 18:16:54.990000010+00:00,2024-10-25 20:16:54.990000010+02:00
1729880229.3899999,3201243800000.0,4455,2024-10-25 18:17:09.389999866+00:00,2024-10-25 20:17:09.389999866+02:00
1729880243.79,3173506000000.0,4455,2024-10-25 18:17:23.789999962+00:00,2024-10-25 20:17:23.789999962+02:00
1729880258.1899998,3199484000000.0,4455,2024-10-25 18:17:38.189999819+00:00,2024-10-25 20:17:38.189999819+02:00
1729880272.59,3155321400000.0,4455,2024-10-25 18:17:52.589999914+00:00,2024-10-25 20:17:52.589999914+02:00
1729880286.99,3180461400000.0,4455,2024-10-25 18:18:06.990000010+00:00,2024-10-25 20:18:06.990000010+02:00
1729880301.3899999,3190349800000.0,4455,2024-10-25 18:18:21.389999866+00:00,2024-10-25 20:18:21.389999866+02:00
1729880315.79,3203171200000.0,4455,2024-10-25 18:18:35.789999962+00:00,2024-10-25 20:18:35.789999962+02:00
1729880330.1899998,3191187800000.0,4455,2024-10-25 18:18:50.189999819+00:00,2024-10-25 20:18:50.189999819+02:00
1729880344.59,3196718600000.0,4455,2024-10-25 18:19:04.589999914+00:00,2024-10-25 20:19:04.589999914+02:00
1729880358.99,3176522800000.0,4455,2024-10-25 18:19:18.990000010+00:00,2024-10-25 20:19:18.990000010+02:00
1729880373.3899999,3235266600000.0,4455,2024-10-25 18:19:33.389999866+00:00,2024-10-25 20:19:33.389999866+02:00
1729880387.79,3209456200000.0,4455,2024-10-25 18:19:47.789999962+00:00,2024-10-25 20:19:47.789999962+02:00
1729880402.1899998,3214735600000.0,4455,2024-10-25 18:20:02.189999819+00:00,2024-10-25 20:20:02.189999819+02:00
1729880416.59,3243562800000.0,4455,2024-10-25 18:20:16.589999914+00:00,2024-10-25 20:20:16.589999914+02:00
1729880430.99,3207696400000.0,4455,2024-10-25 18:20:30.990000010+00:00,2024-10-25 20:20:30.990000010+02:00
1729880445.3899999,3192612400000.0,4455,2024-10-25 18:20:45.389999866+00:00,2024-10-25 20:20:45.389999866+02:00
1729880459.79,3197221400000.0,4455,2024-10-25 18:20:59.789999962+00:00,2024-10-25 20:20:59.789999962+02:00
1729880474.1899998,3195796800000.0,4455,2024-10-25 18:21:14.189999819+00:00,2024-10-25 20:21:14.189999819+02:00
1729880488.59,3247752800000.0,4455,2024-10-25 18:21:28.589999914+00:00,2024-10-25 20:21:28.589999914+02:00
1729880502.99,3219009400000.0,4455,2024-10-25 18:21:42.990000010+00:00,2024-10-25 20:21:42.990000010+02:00
1729880517.3899999,3209037200000.0,4455,2024-10-25 18:21:57.389999866+00:00,2024-10-25 20:21:57.389999866+02:00
1729880531.79,3222110000000.0,4455,2024-10-25 18:22:11.789999962+00:00,2024-10-25 20:22:11.789999962+02:00
